Site,Partition,Syn,Nonsyn,&beta;-&alpha;,Prob[&alpha;>&beta;],Prob[&alpha;<&beta;],BayesFactor[&alpha;<&beta;],PSRF,Neff
410,1,4.339,2.814,-1.525,0.354,0,0,1.007,211.058
411,1,2.315,2.051,-0.263,0.367,0.218,3.651,1.037,63.227
412,1,2.846,1.643,-1.203,0.729,0.007,0.094,1.031,72.304
413,1,1.139,0.015,-1.124,1,0,0,1.075,35.059
414,1,2.822,2.743,-0.079,0.048,0.003,0.039,1.015,126.584
415,1,2.719,0.349,-2.37,1,0,0,1.018,111.249
416,1,0.61,1.09,0.48,0.054,0.875,91.719,1.007,208.231
417,1,2.832,0.457,-2.375,1,0,0,1.014,132.818
418,1,2.741,0.018,-2.723,1,0,0,1.027,80.571
419,1,2.793,0.014,-2.779,1,0,0,1.021,97.926
420,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
421,1,1.675,0.011,-1.664,1,0,0,1.088,30.682
422,1,0.844,0.169,-0.675,0.97,0.016,0.21,1.044,54.329
423,1,2.735,0.013,-2.721,1,0,0,1.023,93.392
424,1,25.173,2.697,-22.476,0.89,0,0.001,1.006,224.589
425,1,3.584,0.012,-3.572,1,0,0,1.031,72.073
426,1,1.957,0.012,-1.945,1,0,0,1.081,32.804
427,1,2.84,0.02,-2.82,1,0,0,1.007,214.787
428,1,2.725,0.269,-2.456,1,0,0,1.025,85.756
429,1,7.051,0.012,-7.04,1,0,0,1.006,235.27
430,1,2.812,0.113,-2.698,1,0,0,1.014,137.098
431,1,7.103,2.815,-4.288,0.995,0,0,1.004,272.376
432,1,0.875,0.203,-0.672,0.957,0.025,0.341,1.063,40.462
433,1,2.846,0.453,-2.393,1,0,0,1.009,182.086
434,1,0.682,7.125,6.443,0,1,2100706.253,1.004,266.514
435,1,2.787,0.474,-2.312,1,0,0,1.014,136.043
436,1,1.831,0.014,-1.817,1,0,0,1.062,41.131
437,1,3.271,1.705,-1.567,0.548,0.25,4.365,1.024,90.851
438,1,2.883,7.125,4.242,0,0.975,513.176,1.006,224.746
439,1,2.82,0.199,-2.621,1,0,0,1.009,180.576
440,1,5.547,0.263,-5.284,1,0,0,1.007,203.94
441,1,2.805,0.013,-2.792,1,0,0,1.023,92.261
442,1,2.734,2.815,0.081,0,0.049,0.673,1.021,99.187
443,1,3.216,0.438,-2.778,1,0,0,1.008,199.332
444,1,7.242,14.701,7.46,0.001,0.89,105.388,1.004,270.84
445,1,2.955,7.125,4.17,0,0.967,379.677,1.005,241.354
446,1,2.813,2.815,0.002,0,0.001,0.02,1.013,143.781
447,1,3.447,0.011,-3.436,1,0,0,1.026,84.29
448,1,2.026,0.456,-1.57,0.987,0.007,0.089,1.019,108.651
449,1,1.582,0.36,-1.223,0.998,0,0.006,1.007,207.799
450,1,2.809,0.349,-2.461,1,0,0,1.012,147.399
451,1,2.788,0.018,-2.77,1,0,0,1.023,92.79
452,1,2.815,0.015,-2.8,1,0,0,1.018,109.739
453,1,6.936,1.096,-5.84,1,0,0,1.007,207.823
454,1,1.685,0.923,-0.762,0.689,0.214,3.562,1.015,126.559
455,1,3.134,0.09,-3.044,1,0,0,1.025,86.691
456,1,2.818,1.21,-1.608,0.998,0,0.002,1.018,110.284
457,1,2.398,0.199,-2.199,1,0,0,1.039,60.577
458,1,2.303,0.012,-2.29,1,0,0,1.089,30.243
459,1,2.889,0.015,-2.874,1,0,0,1.02,104.797
460,1,2.828,2.778,-0.05,0.026,0,0,1.01,170.974
461,1,2.456,1.078,-1.378,0.906,0.031,0.414,1.022,95.511
462,1,2.73,0.087,-2.643,1,0,0,1.019,105.958
463,1,2.801,2.754,-0.047,0.038,0.009,0.113,1.016,119.449
464,1,2.808,1.275,-1.533,0.962,0,0.005,1.022,95.193
465,1,2.052,0.009,-2.043,1,0,0,1.066,38.933
466,1,2.794,2.817,0.023,0,0.014,0.188,1.018,112.02
467,1,5.613,0.022,-5.592,1,0,0,1.011,157.43
468,1,1.625,0.014,-1.611,1,0,0,1.07,37.129
469,1,2.402,0.019,-2.383,0.985,0.007,0.087,1.005,257.897
470,1,2.666,0.018,-2.648,1,0,0,1.033,69.949
471,1,2.815,0.014,-2.801,1,0,0,1.016,123.551
472,1,2.765,0.084,-2.681,1,0,0,1.063,40.559
473,1,2.815,1.208,-1.607,0.999,0,0,1.013,138.766
474,1,2.819,2.813,-0.006,0.002,0,0,1.01,174.84
475,1,1.7,1.21,-0.49,0.443,0.309,5.845,1.029,76.949
476,1,2.496,1.008,-1.487,0.936,0.023,0.313,1.017,116.315
477,1,2.796,0.271,-2.525,1,0,0,1.011,161.701
478,1,6.841,1.157,-5.683,1,0,0,1.009,182.029
479,1,2.849,0.639,-2.21,1,0,0,1.011,157.846
480,1,4.287,1.087,-3.201,1,0,0,1.008,190.693
481,1,2.766,1.028,-1.738,0.991,0.002,0.025,1.016,120.371
482,1,2.801,1.252,-1.548,0.971,0.001,0.016,1.024,90.78
483,1,2.998,0.016,-2.982,1,0,0,1.019,106.361
484,1,2.815,0.013,-2.802,1,0,0,1.03,75.715
485,1,3.719,0.014,-3.704,1,0,0,1.019,108.305
486,1,1.099,0.01,-1.088,1,0,0,1.028,78.002
487,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
488,1,1.102,0.01,-1.091,1,0,0,1.029,77.085
489,1,2.534,0.014,-2.52,1,0,0,1.074,35.323
490,1,4.536,0.468,-4.068,1,0,0,1.01,172.004
491,1,1.195,0.008,-1.187,1,0,0,1.089,30.323
492,1,5.971,2.815,-3.156,0.732,0,0,1.004,283.572
493,1,2.743,0.087,-2.655,1,0,0,1.019,107.854
494,1,2.684,0.014,-2.67,1,0,0,1.022,94.293
495,1,2.447,0.104,-2.343,1,0,0,1.013,139.146
496,1,2.814,0.545,-2.269,1,0,0,1.009,182.549
497,1,2.095,0.196,-1.899,0.999,0.001,0.007,1.082,32.338
498,1,7.005,1.229,-5.776,1,0,0,1.007,203.676
499,1,3.937,0.014,-3.923,1,0,0,1.007,219.718
500,1,2.978,7.108,4.13,0,0.949,245.322,1.007,213.328
501,1,7.431,7.125,-0.306,0.036,0,0,1.002,360.372
502,1,7.125,0.011,-7.114,1,0,0,1.006,235.84
503,1,2.801,0.015,-2.786,1,0,0,1.02,101.926
504,1,3.019,0.018,-3.001,1,0,0,1.015,128.685
505,1,3.355,0.013,-3.342,1,0,0,1.019,106.04
506,1,5.83,0.09,-5.74,1,0,0,1.009,181.729
507,1,2.814,0.197,-2.618,1,0,0,1.007,213.857
508,1,15.122,0.033,-15.089,1,0,0,1.009,184.367
509,1,0.722,0.008,-0.714,0.998,0,0.003,1.01,172.266
510,1,2.813,0.085,-2.728,1,0,0,1.018,112.511
511,1,2.275,0.012,-2.263,1,0,0,1.084,31.641
512,1,6.512,0.011,-6.5,1,0,0,1.011,154.503
513,1,7.126,0.01,-7.116,1,0,0,1.006,233.637
514,1,2.738,0.123,-2.616,1,0,0,1.049,49.8
515,1,2.665,0.421,-2.244,0.999,0,0.005,1.017,116.135
516,1,2.352,0.013,-2.339,1,0,0,1.099,27.761
517,1,2.812,0.019,-2.793,1,0,0,1.015,129.919
518,1,1.382,0.008,-1.374,1,0,0,1.022,95.083
519,1,1.348,0.008,-1.341,1,0,0,1.074,35.35
520,1,2.143,0.761,-1.381,0.923,0.035,0.481,1.011,154.835
521,1,2.396,2.815,0.418,0,0.235,4.023,1.018,112.231
522,1,1.55,6.866,5.317,0,0.952,258.551,1.033,69.409
523,1,2.678,0.018,-2.661,1,0,0,1.033,68.719
524,1,7.072,2.815,-4.257,0.987,0,0,1.002,380.305
525,1,2.773,0.013,-2.76,1,0,0,1.022,96.823
526,1,1.782,0.092,-1.69,1,0,0,1.104,26.728
527,1,0.773,0.537,-0.235,0.669,0.258,4.538,1.046,52.09
528,1,0.802,2.815,2.013,0,0.986,922.852,1.002,346.819
529,1,2.833,0.205,-2.628,0.93,0.054,0.745,1.003,330.383
530,1,1.821,0.014,-1.807,1,0,0,1.012,147.391
531,1,7.61,15.351,7.741,0.006,0.928,169.555,1.015,126.645
532,1,0.682,0.869,0.187,0.228,0.675,27.199,1.019,109.426
533,1,7.124,3.781,-3.344,0.776,0,0,1.007,207.12
534,1,2.802,0.639,-2.163,0.998,0.001,0.007,1.006,224.214
535,1,0.708,0.013,-0.695,0.996,0.001,0.011,1.01,171.155
536,1,7.186,0.289,-6.897,1,0,0,1.004,295.001
537,1,2.325,1.253,-1.072,0.718,0.111,1.628,1.031,73.302
538,1,0.708,1.285,0.578,0.02,0.88,95.853,1.01,167.154
539,1,2.815,0.013,-2.802,1,0,0,1.017,118.014
540,1,3.193,0.087,-3.106,1,0,0,1.013,142.631
541,1,0.135,0.093,-0.042,0.327,0.49,12.578,1.004,271.478
542,1,2.814,0.105,-2.709,1,0,0,1.022,97.496
543,1,6.887,0.012,-6.875,1,0,0,1.011,154.985
544,1,2.813,0.013,-2.8,1,0,0,1.022,96.951
545,1,2.345,0.012,-2.333,1,0,0,1.1,27.545
546,1,2.815,1.478,-1.337,0.838,0,0,1.017,118.741
547,1,1.764,0.014,-1.749,1,0,0,1.068,37.906
548,1,1.165,0.008,-1.157,1,0,0,1.089,30.353
549,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
550,1,2.853,0.083,-2.77,1,0,0,1.034,68.261
551,1,2.81,0.018,-2.791,1,0,0,1.014,136.806
552,1,7.13,0.012,-7.118,1,0,0,1.006,236.095
553,1,2.637,0.158,-2.479,1,0,0,1.04,59.251
554,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
555,1,2.37,0.007,-2.363,0.99,0.003,0.037,1.005,260.858
556,1,1.644,0.01,-1.634,1,0,0,1.085,31.296
557,1,2.709,0.696,-2.013,0.995,0.001,0.01,1.011,160.897
558,1,2.458,1.21,-1.248,0.82,0.03,0.401,1.02,103.004
559,1,2.725,0.018,-2.706,1,0,0,1.018,111.122
560,1,3.084,1.249,-1.835,0.985,0,0,1.02,104.11
561,1,0.954,0.177,-0.777,0.985,0.008,0.103,1.083,32.124
562,1,2.761,0.013,-2.747,1,0,0,1.038,62.249
563,1,3.042,1.178,-1.864,0.999,0,0.001,1.017,118.006
564,1,1.389,0.01,-1.379,1,0,0,1.074,35.111
565,1,2.11,0.016,-2.094,1,0,0,1.024,90.565
566,1,5.145,0.013,-5.132,1,0,0,1.015,125.715
567,1,2.718,0.013,-2.705,1,0,0,1.031,72.491
568,1,2.815,0.087,-2.728,1,0,0,1.013,140.137
569,1,1.459,0.01,-1.449,1,0,0,1.036,63.849
570,1,2.786,2.815,0.029,0,0.018,0.237,1.018,113.188
571,1,0.906,0.008,-0.898,1,0,0.001,1.011,159.904
572,1,1.962,0.345,-1.616,0.997,0.001,0.012,1.012,148.377
573,1,5.926,0.016,-5.911,1,0,0,1.011,158.549
574,1,3.722,7.125,3.403,0,0.789,48.944,1.006,238.731
575,1,2.652,0.155,-2.497,1,0,0,1.019,106.481
576,1,2.835,0.014,-2.821,1,0,0,1.039,60.566
577,1,1.323,1.236,-0.088,0.251,0.524,14.393,1.022,94.905
578,1,1.713,0.117,-1.596,1,0,0,1.115,24.486
579,1,2.883,0.02,-2.864,1,0,0,1.007,219.365
580,1,2.68,2.815,0.135,0,0.08,1.142,1.022,94.537
581,1,2.309,0.013,-2.296,1,0,0,1.084,31.854
582,1,1.568,0.009,-1.559,1,0,0,1.088,30.564
583,1,1.972,0.01,-1.963,1,0,0,1.032,71.689
584,1,2.793,0.017,-2.777,1,0,0,1.02,102.397
585,1,4.442,0.014,-4.429,1,0,0,1.006,228.353
586,1,0.72,0.008,-0.712,0.998,0,0.003,1.01,172.251
587,1,0.861,0.013,-0.848,0.999,0,0.003,1.016,119.941
588,1,7.139,0.011,-7.127,1,0,0,1.009,187.606
589,1,1.136,0.01,-1.127,1,0,0,1.095,28.607
590,1,3.088,0.013,-3.075,1,0,0,1.034,68.326
591,1,2.8,0.751,-2.049,0.999,0,0.002,1.012,153.852
592,1,2.793,0.015,-2.778,1,0,0,1.029,75.956
593,1,2.814,0.012,-2.802,1,0,0,1.027,81.962
594,1,1.396,0.01,-1.386,1,0,0,1.074,35.127
595,1,2.805,0.485,-2.319,1,0,0,1.013,145.001
596,1,1.416,0.012,-1.403,1,0,0,1.07,36.851
597,1,2.681,0.014,-2.667,1,0,0,1.034,67.62
598,1,2.8,0.018,-2.782,1,0,0,1.021,101.185
599,1,2.669,0.012,-2.657,1,0,0,1.071,36.585
600,1,2.679,0.018,-2.662,1,0,0,1.016,119.534
601,1,2.88,0.013,-2.867,1,0,0,1.023,91.511
602,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
603,1,2.816,1.322,-1.494,0.939,0,0,1.021,98.487
604,1,2.831,0.012,-2.819,1,0,0,1.023,92.077
605,1,2.449,0.012,-2.437,1,0,0,1.076,34.683
606,1,2.628,0.014,-2.614,1,0,0,1.093,29.061
607,1,2.846,0.015,-2.831,1,0,0,1.028,79.92
608,1,2.816,0.5,-2.316,1,0,0,1.008,194.501
609,1,2.488,0.013,-2.475,1,0,0,1.068,37.897
610,1,1.003,7.125,6.122,0,1,5501555.344,1.023,92.212
611,1,2.842,0.015,-2.827,1,0,0,1.017,115.505
612,1,2.818,1.236,-1.581,0.99,0,0,1.018,112.645
613,1,2.815,0.015,-2.8,1,0,0,1.01,164.499
614,1,2.771,0.015,-2.757,1,0,0,1.067,38.113
615,1,2.815,0.015,-2.8,1,0,0,1.013,140.131
616,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
617,1,2.518,0.014,-2.504,1,0,0,1.022,95.317
618,1,2.78,0.196,-2.583,1,0,0,1.012,148.98
619,1,2.593,0.013,-2.58,1,0,0,1.022,94.611
620,1,2.814,0.015,-2.799,1,0,0,1.018,113.799
621,1,2.815,0.012,-2.803,1,0,0,1.023,93.551
622,1,0.464,2.815,2.35,0,1,68190.25,0.999,633.308
623,1,2.755,0.014,-2.742,1,0,0,1.06,42.145
624,1,2.49,0.554,-1.937,0.99,0.004,0.057,1.007,210.167
625,1,2.571,0.108,-2.463,1,0,0,1.06,42.109
626,1,4.013,2.815,-1.198,0.278,0,0.003,1.011,155.418
627,1,3.205,0.083,-3.122,1,0,0,1.022,97.047
628,1,7.099,0.278,-6.821,1,0,0,1.003,312.536
629,1,0.575,1.222,0.647,0.011,0.936,190.374,1.007,209.214
630,1,2.631,0.014,-2.617,1,0,0,1.093,29.067
631,1,2.37,0.007,-2.363,0.99,0.003,0.037,1.005,260.858
632,1,3.328,0.09,-3.237,1,0,0,1.016,120.035
633,1,2.101,0.365,-1.735,0.992,0.005,0.064,1.037,62.518
634,1,2.803,0.019,-2.784,1,0,0,1.017,117.199
635,1,3,0.018,-2.982,1,0,0,1.022,96.828
636,1,2.541,0.535,-2.006,0.994,0.002,0.025,1.008,196.873
637,1,3.68,0.016,-3.663,1,0,0,1.026,83.979
638,1,2.755,0.015,-2.74,1,0,0,1.05,49.356
639,1,1.758,0.011,-1.747,1,0,0,1.063,40.574
640,1,2.776,0.02,-2.755,1,0,0,1.015,125.686
641,1,2.758,2.815,0.057,0,0.035,0.468,1.019,106.768
642,1,2.785,2.132,-0.652,0.423,0.013,0.167,1.017,117.207
643,1,2.639,0.014,-2.624,1,0,0,1.029,76.419
644,1,1.691,0.011,-1.68,1,0,0,1.088,30.619
645,1,1.946,0.011,-1.935,1,0,0,1.093,29.212
646,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
647,1,2.787,0.012,-2.775,1,0,0,1.088,30.429
648,1,2.701,0.017,-2.684,1,0,0,1.05,48.595
649,1,2.818,0.363,-2.456,1,0,0,1.012,149.021
650,1,6.658,0.68,-5.978,1,0,0,1.01,173.088
651,1,2.815,0.137,-2.677,1,0,0,1.005,253.238
652,1,3.138,0.015,-3.124,1,0,0,1.007,214.02
653,1,2.815,2.813,-0.002,0.001,0,0.001,1.01,174.961
654,1,1.165,0.014,-1.151,1,0,0,1.064,39.746
655,1,1.008,1.94,0.933,0.05,0.791,49.604,1.018,112.695
656,1,1.683,0.013,-1.671,1,0,0,1.084,31.597
657,1,2.118,0.012,-2.105,1,0,0,1.089,30.301
658,1,1.403,0.012,-1.391,1,0,0,1.081,32.704
659,1,1.755,0.011,-1.744,1,0,0,1.062,40.731
660,1,2.912,0.013,-2.899,1,0,0,1.023,91.249
661,1,1.429,0.013,-1.417,1,0,0,1.025,88.03
662,1,2.738,0.013,-2.726,1,0,0,1.057,43.729
663,1,1.974,0.011,-1.962,1,0,0,1.092,29.432
664,1,3.178,0.013,-3.165,1,0,0,1.033,69.249
665,1,2.91,0.02,-2.89,1,0,0,1.007,216.856
666,1,2.801,0.02,-2.78,1,0,0,1.014,136.18
667,1,2.006,0.017,-1.99,1,0,0,1.014,136.778
668,1,1.376,0.17,-1.205,0.999,0,0.005,1.117,24.214
669,1,1.131,0.008,-1.124,1,0,0,1.033,69.902
670,1,6.066,0.01,-6.056,1,0,0,1.009,186.202
671,1,2.852,0.129,-2.723,1,0,0,1.015,127.188
672,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
673,1,2.468,0.023,-2.445,1,0,0,1.056,44.691
674,1,2.466,1.182,-1.283,0.852,0.054,0.74,1.028,79.989
675,1,2.813,0.013,-2.8,1,0,0,1.021,98.91
676,1,6.743,0.011,-6.732,1,0,0,1.013,143.313
677,1,5.981,0.012,-5.968,1,0,0,1.006,232.712
678,1,3.632,0.163,-3.469,1,0,0,1.01,167.255
679,1,6.524,0.084,-6.44,1,0,0,1.015,125.274
680,1,5.708,0.085,-5.622,1,0,0,1.024,88.85
681,1,1.937,0.01,-1.928,1,0,0,1.093,29.071
682,1,2.815,0.02,-2.795,1,0,0,1.008,202.348
683,1,1.263,0.008,-1.255,1,0,0,1.081,32.727
684,1,2.789,0.015,-2.774,1,0,0,1.034,67.864
685,1,1.689,0.015,-1.674,1,0,0,1.017,116.941
686,1,2.816,0.247,-2.569,1,0,0,1.011,155.023
687,1,2.803,0.012,-2.791,1,0,0,1.042,56.577
688,1,1.252,0.013,-1.239,1,0,0,1.083,32.205
689,1,2.806,0.013,-2.793,1,0,0,1.038,61.862
690,1,1.545,0.008,-1.537,1,0,0,1.072,36.14
691,1,3.268,0.015,-3.253,1,0,0,1.021,100.644
692,1,1.221,0.008,-1.212,1,0,0,1.058,43.422
693,1,0.72,0.011,-0.709,0.997,0.001,0.008,1.01,174.123
694,1,2.64,0.024,-2.616,1,0,0,1.043,55.68
695,1,1.504,0.098,-1.406,1,0,0.001,1.093,29.164
696,1,3.221,0.223,-2.998,1,0,0,1.005,246.619
697,1,0.246,0.012,-0.234,0.85,0.057,0.784,1.006,230.923
698,1,2.803,0.017,-2.786,1,0,0,1.03,74.445
699,1,2.807,0.014,-2.793,1,0,0,1.057,43.916
700,1,3.126,0.024,-3.103,1,0,0,1.013,142.972
701,1,7.087,0.012,-7.075,1,0,0,1.008,200.7
702,1,1.922,0.115,-1.807,1,0,0,1.019,108.303
703,1,0.72,0.011,-0.709,0.997,0.001,0.007,1.01,174.211
704,1,1.709,0.014,-1.695,1,0,0,1.078,33.684
705,1,2.384,0.013,-2.371,1,0,0,1.099,27.632
706,1,2.695,0.018,-2.677,1,0,0,1.054,45.985
707,1,2.81,0.014,-2.796,1,0,0,1.023,93.918
708,1,2.815,0.117,-2.698,1,0,0,1.024,89.715
709,1,2.814,1.181,-1.633,1,0,0,1.012,146.605
710,1,2.802,0.769,-2.033,0.998,0,0.006,1.01,167.298
711,1,2.076,0.091,-1.986,1,0,0,1.098,28.042
712,1,2.511,0.124,-2.387,0.945,0.038,0.523,1.002,343.761
713,1,1.13,0.203,-0.927,0.994,0.003,0.046,1.1,27.445
714,1,2.829,0.454,-2.375,1,0,0,1.011,155.521
715,1,3.29,0.089,-3.201,1,0,0,1.039,60.158
716,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
717,1,7.137,2.727,-4.41,1,0,0,1.002,364.94
718,1,3.099,0.015,-3.084,1,0,0,1.022,97.501
719,1,2.81,0.119,-2.691,1,0,0,1.018,111.635
720,1,2.818,1.118,-1.7,1,0,0,1.008,201.394
721,1,1.551,0.009,-1.542,1,0,0,1.088,30.618
722,1,2.815,0.02,-2.794,1,0,0,1.009,180.175
723,1,6.669,0.009,-6.66,1,0,0,1.01,165.973
724,1,2.815,0.013,-2.802,1,0,0,1.021,98.885
725,1,1.502,0.176,-1.325,1,0,0.002,1.028,78.239
726,1,2.794,0.013,-2.781,1,0,0,1.022,95.579
727,1,2.125,0.012,-2.112,1,0,0,1.041,58.386
728,1,2.682,0.016,-2.666,1,0,0,1.048,50.292
729,1,4.086,0.014,-4.072,1,0,0,1.02,101.318
730,1,1.364,0.011,-1.353,1,0,0,1.084,31.639
731,1,1.145,1.182,0.037,0.189,0.564,16.956,1.022,95.598
732,1,2.341,0.013,-2.328,1,0,0,1.084,31.8
733,1,2.715,0.392,-2.322,1,0,0.001,1.014,135.989
734,1,1.228,0.01,-1.218,1,0,0,1.052,47.791
735,1,1.195,0.123,-1.071,1,0,0.002,1.053,46.598
736,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
737,1,2.545,0.083,-2.462,0.953,0.03,0.409,1,475.384
738,1,2.37,0.007,-2.363,0.99,0.003,0.037,1.005,260.858
739,1,2.561,0.458,-2.103,0.998,0,0.002,1.012,147.415
740,1,0.609,0.01,-0.6,0.996,0.001,0.007,1.01,175.118
741,1,0.639,0.005,-0.634,0.945,0.014,0.184,1.004,270.617
742,1,1.653,0.12,-1.533,1,0,0,1.114,24.735
743,1,1.535,0.204,-1.331,0.997,0.001,0.017,1.036,64.951
744,1,4.754,1.137,-3.617,1,0,0,1.011,158.94
745,1,1.425,0.013,-1.412,1,0,0,1.024,88.156
746,1,2.82,0.015,-2.805,1,0,0,1.022,95.609
747,1,2.631,0.014,-2.617,1,0,0,1.021,100.92
748,1,2.805,0.02,-2.785,1,0,0,1.014,136.757
749,1,2.692,0.235,-2.457,1,0,0.001,1.037,63.251
750,1,1.045,0.191,-0.855,0.986,0.007,0.098,1.097,28.283
751,1,2.515,0.012,-2.503,1,0,0,1.068,37.888
752,1,6.998,1.14,-5.858,1,0,0,1.007,204.43
753,1,7.125,1.791,-5.334,1,0,0,1.009,175.929
754,1,0.868,0.009,-0.859,0.999,0,0.001,1.012,150.95
755,1,2.703,0.013,-2.69,1,0,0,1.024,89.82
756,1,2.811,0.505,-2.306,1,0,0,1.013,138.817
757,1,2.541,0.093,-2.449,1,0,0,1.043,55.473
758,1,2.808,0.013,-2.795,1,0,0,1.024,88.723
759,1,2.813,0.109,-2.704,1,0,0,1.008,197.472
760,1,2.028,0.281,-1.746,0.999,0.001,0.007,1.035,65.231
761,1,2.713,0.018,-2.695,1,0,0,1.053,46.318
762,1,2.81,1.364,-1.446,0.905,0.003,0.036,1.034,68.176
763,1,7.141,0.612,-6.529,1,0,0,1.009,183.823
764,1,2.801,0.155,-2.646,1,0,0,1.008,189.416
765,1,2.813,0.167,-2.646,1,0,0,1.01,173.503
766,1,7.127,4.537,-2.59,0.601,0,0,1.008,190.599
767,1,0.403,1.128,0.726,0.009,0.972,447.764,1.007,218.239
768,1,0.46,0.172,-0.289,0.763,0.132,1.992,1.007,217.88
769,1,2.842,0.086,-2.757,1,0,0,1.02,103.381
770,1,2.84,0.484,-2.357,1,0,0,1.012,149.392
771,1,3.596,0.309,-3.288,1,0,0,1.005,247.094
772,1,2.642,0.084,-2.558,1,0,0,1.09,29.921
773,1,1.688,0.011,-1.677,1,0,0,1.088,30.63
774,1,1.227,0.155,-1.072,1,0,0,1.083,32.209
775,1,7.125,0.012,-7.113,1,0,0,1.006,223.229
776,1,2.599,0.204,-2.395,0.927,0.056,0.776,1.003,320.343
777,1,1.084,0.578,-0.506,0.909,0.048,0.658,1.017,119.006
778,1,1.249,0.014,-1.235,1,0,0,1.039,60.739
779,1,2.497,0.279,-2.218,0.999,0,0.004,1.055,45.204
780,1,1.1,0.013,-1.087,1,0,0,1.09,29.915
781,1,1.227,2.816,1.589,0,0.819,59.296,1,478.59
782,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
783,1,2.848,1.17,-1.678,0.998,0,0.004,1.019,109.181
784,1,2.641,0.013,-2.628,1,0,0,1.065,39.571
785,1,2.653,0.018,-2.635,1,0,0,1.019,107.675
786,1,2.862,1.228,-1.634,0.993,0,0,1.016,119.692
787,1,4.478,1.895,-2.583,0.767,0,0,1.01,164.389
788,1,1.803,0.011,-1.792,1,0,0,1.089,30.179
789,1,1.73,0.497,-1.234,0.967,0.017,0.231,1.016,121.845
790,1,0.4,7.1,6.7,0,1,13642680.92,1.006,220.924
791,1,2.438,0.093,-2.345,1,0,0,1.075,34.721
792,1,0.637,0.014,-0.623,0.988,0.002,0.028,1.007,211.648
793,1,1.743,0.839,-0.904,0.576,0.373,7.768,1.021,98.167
794,1,2.402,0.019,-2.382,0.985,0.007,0.086,1.005,258.159
795,1,2.813,0.087,-2.726,1,0,0,1.015,126.214
796,1,1.842,1.031,-0.811,0.721,0.135,2.037,1.024,90.458
797,1,1.368,0.237,-1.132,0.997,0.002,0.02,1.078,33.647
798,1,2.668,0.02,-2.649,1,0,0,1.015,125.747
799,1,0.607,0.101,-0.506,0.952,0.013,0.171,1.01,169.871
800,1,1.727,0.015,-1.711,1,0,0,1.016,120.142
801,1,4.514,0.405,-4.109,1,0,0,1.006,221.74
802,1,2.777,0.298,-2.479,1,0,0,1.02,105.161
803,1,1.275,0.122,-1.154,1,0,0.001,1.042,56.814
804,1,2.477,0.012,-2.465,1,0,0,1.075,34.71
805,1,2.775,0.351,-2.424,1,0,0.001,1.013,139.15
806,1,1.219,0.012,-1.206,1,0,0,1.044,55.005
807,1,2.815,0.015,-2.8,1,0,0,1.017,114.63
808,1,1.448,0.01,-1.437,1,0,0,1.075,34.747
809,1,2.833,0.015,-2.818,1,0,0,1.02,103.576
810,1,2.707,1.014,-1.693,0.98,0.003,0.034,1.015,129.139
811,1,2.778,0.139,-2.638,1,0,0,1.02,102.054
812,1,2.818,1.205,-1.613,0.995,0.001,0.012,1.022,95.044
813,1,1.137,0.013,-1.125,0.999,0,0.003,1.011,163.382
814,1,2.089,1.231,-0.858,0.626,0.241,4.151,1.025,86.591
815,1,2.808,0.015,-2.793,1,0,0,1.023,91.779
816,1,2.029,0.012,-2.017,1,0,0,1.088,30.61
817,1,3.448,0.013,-3.435,1,0,0,1.033,69.755
818,1,0.92,0.011,-0.908,1,0,0,1.082,32.427
819,1,2.844,0.018,-2.826,1,0,0,1.017,114.421
820,1,2.812,0.101,-2.711,1,0,0,1.013,139.973
821,1,2.503,1.544,-0.959,0.664,0.068,0.954,1.029,76.958
822,1,2.815,0.188,-2.627,1,0,0,1.005,257.421
823,1,2.464,0.322,-2.142,1,0,0,1.014,133.202
824,1,1.889,1.388,-0.501,0.46,0.279,5.053,1.033,69.793
825,1,0.955,0.014,-0.941,0.998,0,0.006,1.011,156.16
826,1,7.125,0.109,-7.016,1,0,0,1.008,200.251
827,1,2.135,0.497,-1.639,0.801,0.172,2.721,1.025,87.739
828,1,0.31,1.694,1.384,0.002,0.985,855.668,1.014,137.167
829,1,2.814,0.02,-2.794,1,0,0,1.01,167.522
830,1,1.176,0.007,-1.169,1,0,0,1.087,30.939
831,1,2.518,0.019,-2.499,1,0,0,1.014,131.768
832,1,2.716,0.013,-2.703,1,0,0,1.03,74.015
833,1,3.973,0.013,-3.96,1,0,0,1.014,138.109
834,1,2.667,1.224,-1.443,0.919,0.011,0.141,1.02,104.103
835,1,1.643,0.011,-1.632,1,0,0,1.087,30.805
